Date de début;Date de fin;Organisme;code zas;Zas;code site;nom site;type d'implantation;Polluant;type d'influence;Réglementaire;type d'évaluation;type de valeur;valeur;valeur brute;unité de mesure;taux de saisie;couverture temporelle;couverture de données;code qualité;validité;Latitude;Longitude
2020/08/18 00:00:00;2020/08/18 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04004;PARIS 18eme;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;78.7;78.65;µg-m3;100.0;100;100.0;A;1;48.891666;2.346667
2020/08/18 00:00:00;2020/08/18 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04037;PARIS 13eme;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;70.0;70.0;µg-m3;100.0;100;100.0;A;1;48.82861;2.360278
2020/08/18 00:00:00;2020/08/18 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04055;PARIS 1er Les Halles;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;74.4;74.35;µg-m3;100.0;100;100.0;A;1;48.86212;2.344616
2020/08/19 00:00:00;2020/08/19 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04004;PARIS 18eme;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;77.9;77.85;µg-m3;100.0;100;100.0;A;1;48.891666;2.346667
2020/08/19 00:00:00;2020/08/19 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04037;PARIS 13eme;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;69.7;69.7;µg-m3;100.0;100;100.0;A;1;48.82861;2.360278
2020/08/19 00:00:00;2020/08/19 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04055;PARIS 1er Les Halles;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;65.0;64.95;µg-m3;88.0;100;88.0;A;1;48.86212;2.344616
2020/08/20 00:00:00;2020/08/20 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04004;PARIS 18eme;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;106.4;106.35;µg-m3;100.0;100;100.0;A;1;48.891666;2.346667
2020/08/20 00:00:00;2020/08/20 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04037;PARIS 13eme;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;93.5;93.5;µg-m3;100.0;100;100.0;A;1;48.82861;2.360278
2020/08/20 00:00:00;2020/08/20 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04055;PARIS 1er Les Halles;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;95.6;95.6;µg-m3;100.0;100;100.0;A;1;48.86212;2.344616
2020/08/21 00:00:00;2020/08/21 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04004;PARIS 18eme;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;80.7;80.65;µg-m3;100.0;100;100.0;A;1;48.891666;2.346667
2020/08/21 00:00:00;2020/08/21 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04037;PARIS 13eme;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;70.3;70.25;µg-m3;100.0;100;100.0;A;1;48.82861;2.360278
2020/08/21 00:00:00;2020/08/21 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04055;PARIS 1er Les Halles;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;74.0;74.0;µg-m3;100.0;100;100.0;A;1;48.86212;2.344616
2020/08/22 00:00:00;2020/08/22 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04004;PARIS 18eme;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;84.2;84.2;µg-m3;100.0;100;100.0;A;1;48.891666;2.346667
